url,title,author,publisher,isbn,page,country,language,category,rating,numberOfRating,numberOfReview,orginalPrice,sellPrice,summery,imageUrl
https://www.rokomari.com//book/182450/harry-potter-and-the-cursed-child,হ্যারি পটার অ্যান্ড দ্য কার্সড চাইল্ড, জ্যাক থর্নে , সালেহ আহমেদ মুবিন , ,9789849145967,"1st Published, 2019",302," বয়স যখন ১২-১৭: রহস্য, গোয়েন্দা, থ্রিলার ও অ্যাডভেঞ্চার ",3.97,35,16,550,413,”হ্যারি পটার অ্যান্ড দ্য কার্সড চাইল্ড” বইটির সম্পর্কে কিছু কথাঃ,https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/47b14a459_182450.jpg
https://www.rokomari.com//book/118450/harry-potter-and-the-cursed-child-parts-one-and-two-2016-series-8-special-rehearsal-edition-script,Harry Potter and the Cursed Child - Parts One and Two (2016) (Series-8)(Special Rehearsal Edition Script), J. K. Rowling , Arthur A. Levine Books ,9781338099133,"1st Published, 2016",320,India," When 12-17: Mystery, Detective, Thriller and Adventure ",4.86,14,3,0,0,The Eighth Story. Nineteen Years Later.,https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/83822cd832e4_118450.gif
https://www.rokomari.com//book/230191/social-media-o-samajik-andolon,সোশ্যাল মিডিয়া ও সামাজিক আন্দোলন , জুলফিকার হায়দার , ঐতিহ্য ,9789847768342,"1st Edition, 2022",184,বাংলাদেশ, গণমাধ্যম ও সাংবাদিকতা বিষয়ক গবেষণা ও প্রবন্ধ ,5.0,1,,360,308,"চীনা দার্শনিক এবং তাওবাদের প্রবর্তক লাও ৎঝু বলেছেন, “একজন নেতা তখনই সর্বোত্তম হন যখন লোকেরা তার অস্তিত্ব সম্পর্কে খুবই কম জানে। যখন তাঁর কাজ শেষ হবে, তাঁর লক্ষ্য পূরণ হবে, লোকেরা বলবে : আমরা নিজেরাই করেছি।” এমন একটা সময়ের মধ্য দিয়ে আমরা যাচ্ছি যখন সারা বিশ্বে সোশ্যাল মিডিয়ার তেমনই এক অদৃশ্য নেতা হিসেবে আবির্ভূত হয়েছে, হাজারো মানুষকে রাস্তায় নামিয়ে আনছে।",
https://www.rokomari.com//book/286548/the-psychology-of-money,দি সাইকোলজি অব মানি, মর্গান হাউসেল , জ্ঞানকোষ প্রকাশনী ,"1st Published, 2023",120,বাংলাদেশ,বাংলা, অনুবাদ: আত্ম-উন্নয়ন ও মেডিটেশন ,3.5,2,1,300,258,বইটি পড়ার পর আপনি রাতারাতি মিলিয়নিয়ার হয়ে যাবেন। ,https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/The_Psychology_of_Money_-Morgan_Housel-43428-286548.jpg
https://www.rokomari.com//book/201855/muhammad-his-life-based-on-the-earliest-sources,মুহাম্মদ সাল্লাল্লাহু আলাইহিস ওয়াসাল্লাম : আরবের আদি ইতিহাস ও ঐতিহ্যনির্ভর জীবনী, মার্টিন লিংস , ড. মোঃ এমতাজ হোসেন , ,97898483833231,"৫ম সংস্করণ, ২০২৩",416, সীরাতে রাসুল ﷺ ,4.6,5,4,670,576," বিশ্বনবী মুহাম্মদ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম-এর জীবনী নিয়ে প্রতি বছর সারা পৃথিবী থেকে বিভিন্ন ভাষায় কমপক্ষে ১০০টি নতুন বই প্রকাশিত হয়। ‘মুহাম্মদ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম : আরবের আদি ইতিহাস ও ঐতিহ্যনির্ভর জীবনী’ বইটি সারা পৃথিবীতে তাঁকে নিয়ে যত বই প্রকাশিত হয়েছে তার মধ্যে অন্যতম। মার্টিন লিঙ্‌স একজন খ্রিস্টান ছিলেন। এই বইটি লেখার পরপরই তিনি ইসলাম ধর্ম গ্রহণ করেন। তাঁর মুসলিম নাম আবু বকর সিরাজ আল-দীন। তিনি অক্সফোর্ড ও লন্ডন বিশ্ববিদ্যালয় থেকে ইংরেজি ও আরবি সাহিত্যে উচ্চতর ডিগ্রি অর্জন করেন। তিনি বারো বছর ধরে মিশরের কায়রো বিশ্ববিদ্যালয়ের প্রভাষক ছিলেন। তিনি একজন ইসলামিক গবেষক, বিশ্ব ইসলামিক সংস্থার পরামর্শক এবং ‘দি আর্ট অব ইসলাম’ নামক প্রদর্শনীর জন্য আর্টস কাউন্সিল কমিটির সদস্য হিসেবে দায়িত্ব পালন করেন। ১৯৭৭ সালে তিনি সৌদি আরবের ‘কিং আব্দুল আজিজ বিশ্ববিদ্যালয়’-এর আমন্ত্রেণে মক্কায় অনুষ্ঠিত ‘ইসলামিক শিক্ষা’ সম্মেলনে অংশগ্রহণ করেন। এই বইটি ছাড়াও তিনি ‘কোরানিক আর্টস অব ক্যালিগ্রাফি অ্যান্ড ইলিউমিনেশন’ বইয়ের লেখক। ‘কমপ্যারেটিভ রিলিজিওন অ্যান্ড দ্য ইসলামিক কোয়ার্টারলি’ সাময়িকী এবং এনসাইক্লোপিডিয়া ব্রিটানিকার ‘দি নিউ এনসাইক্লোপিডিয়া অব ইসলামিক’-এর জন্য অসংখ্য অনুচ্ছেদ (নিবন্ধ) লিখেছেন। মুল ইংরেজি বই '‘Muhammad : His Life Based on the Earliest Sources'' রেফারেন্স বই হিসেবে সারা পৃথিবীতে বিভিন্ন বিশ্ববিদ্যালয়ে পড়ানো হয়। অসম্ভব প্রাঞ্জল ভাষায় বইটি অনুবাদ করেছেন ইসলামিক বিশ্ববিদ্যালয়, কুষ্টিয়া-এর দুজন প্রফেসর ড. মো. এমতাজ হোসেন এবং ড. মো. মনজুর রহমান। সকল ধর্মপ্রাণ মুসলমান, বিশ্ববিদ্যালয়ের শিক্ষক, ছাত্রছাত্রী, গবেষক এমনকি Nonbeliever–দের জন্যও অবশ্য পাঠ্য একটি বই। বইটি একবার পড়া শুরু করলে শেষ না করে উঠতে ইচ্ছে হবে না। বইটি একবার পড়ে দেখুন, আপনার হৃদয় ছুঁয়ে যাবে। আশা করি বইটি সবার কাছে সমাদৃত হবে। ",https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/Muhammad__His_Life_Based_on_the_Earliest-Martin_Lings-7cd99-201855.jpg
https://www.rokomari.com//book/133628/anisul-hoque-maa-la-mad-re-spanish-language,আনিসুল হক মা লা মার্দি (স্প্যানিশ ভাষা), আনিসুল হক , মোঃ আবুল হোসেন সবুজ , ,9844584221,"1st Published, 2016",327, Translated Novel ,3.67,3,1,650,559,,https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/fc81aa28b5c4_133628.jpg
https://www.rokomari.com//book/218483/ihyau-ulumiddeen-1,ইহয়াউ উলূমিদ্দীন - ১ (ইলম ও জ্ঞান), হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ. , মুফতি আবু নাঈম মুহাম্মদ সাজিদ , ,9789845580168,"1st Published, 2021",240, ইসলামি দর্শন ,4.0,1,,260,224,খুবই প্রয়োজনীয় একটি বই। যা সারাবিশ্বে প্রায় 20টি ভাষায় অনূদিত হয়েছে। ,
https://www.rokomari.com//book/110349/ma-o-shishu-shastho-o-odhikar,মা ও শিশু : স্বাস্থ্য ও অধিকার , মানসুবা তাবাসসুম হক , সিঁড়ি প্রকাশন , 9789849130796,"1st Published, 2016",383,বাংলাদেশ, নারী ও শিশুর স্বাস্থ্য ,5.0,4,2,700,602,,https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/b6869f3c3de4_110349.gif
https://www.rokomari.com//book/192919/quran-sunnahor-dua-somvar,কুরআন-সুন্নাহর দুআ-সম্ভার, মুফতি আবু নাঈম মুহাম্মদ সাজিদ , Darut Takbir ,"1st Published, 2019",320,Bangladesh,Bangla & Arabic," Dua, Dorud and Zikr ",5.0,1,1,320,275,"""কুরআন-সুন্নাহর দুআ-সম্ভার"" বইটির সূচিপত্র: ",https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/226e90a01_192919.jpg
https://www.rokomari.com//book/155316/sheikh-sadir-seragalpo,শেখ সাদীর সেরা গল্প, হযরত শেখ সাদী (রহঃ) , মাওলানা মুহাম্মদ আমীনুর রশীদ , ,"1st Published, 2016",128,বাংলাদেশ, ইসলামি গল্প ,4.5,10,10,220,132,"""শেখ সাদীর সেরা গল্প"" বইটি সম্পর্কে কিছু কথা:",https://ds.rokomari.store/rokomari110/ProductNew20190903/260X372/f1d8f480c_155316.jpg
